"('The Karma Killers', '/bands/the-karma-killers')","('52 concerts', None)",The Killers
"('The Killers M83', '/bands/the-killers-m83')","('2 concerts', None)",The Killers
"('Rhett Miller and the Serial Lady Killers', '/bands/rhett-miller-and-the-serial-lady-killers')","('5 concerts', None)",The Killers
"('The Killers/Johnny Marr', '/bands/the-killers-johnny-marr--649746')","('2 concerts', None)",The Killers
"('The Fearless Vampire Killers', '/bands/the-fearless-vampire-killers')","('33 concerts', None)",The Killers
"('The Zodiac Killers', '/bands/the-zodiac-killers')","('5 concerts', None)",The Killers
"('The Immortal Lee County Killers Ii', '/bands/the-immortal-lee-county-killers-ii')","('1 concerts', None)",The Killers
"('The Notorious Hi-Fi Killers', '/bands/the-notorious-hi-fi-killers')","('2 concerts', None)",The Killers
"('The Mercy Killers', '/bands/the-mercy-killers')","('2 concerts', None)",The Killers
"('Paul Di’anno and The Killers', '/bands/paul-di-anno-and-the-killers')","('2 concerts', None)",The Killers
"('The Honeymoon Killers', '/bands/the-honeymoon-killers')","('2 concerts', None)",The Killers
"('The Fillers', '/bands/the-fillers')","('13 concerts', None)",The Killers
"('The Go-Go Killers', '/bands/the-go-go-killers')","('1 concerts', None)",The Killers
"('The Killers / Chairlift', '/bands/the-killers-chairlift')","('1 concerts', None)",The Killers
"('The Kombi Killers', '/bands/the-kombi-killers')","('2 concerts', None)",The Killers
"('These Killers', '/bands/these-killers')","('1 concerts', None)",The Killers
"('Thee Repton County Killers', '/bands/thee-repton-county-killers')","('1 concerts', None)",The Killers
"('The Lady Killers', '/bands/the-lady-killers')","('5 concerts', None)",The Killers
"('The Killers, franz Ferdinand', '/bands/the-killers-franz-ferdinand')","('1 concerts', None)",The Killers
"('The Immortal Lee County Killers', '/bands/the-immortal-lee-county-killers')","('22 concerts', None)",The Killers
"('The killers, hot hot heat', '/bands/the-killers-hot-hot-heat')","('1 concerts', None)",The Killers
"('Gurf Morlix and the Real Killers', '/bands/gurf-morlix-and-the-real-killers')","('1 concerts', None)",The Killers
"('The Kopycat Killers', '/bands/the-kopycat-killers')","('1 concerts', None)",The Killers
"('The Killers / Manic Street Preachers', '/bands/the-killers-manic-street-preachers')","('1 concerts', None)",The Killers
"('Kanye West', '/bands/kanye-west')","('677 concerts', None)",Kanye West
"(""Kanye West's Sunday Service"", '/bands/kanye-west-s-sunday-service')","('5 concerts', None)",Kanye West
"('Kanye West Presents Sunday Service', '/bands/kanye-west-presents-sunday-service')","('2 concerts', None)",Kanye West
"('Kanye West 2013 the palace', '/bands/kanye-west-2013-the-palace')","('1 concerts', None)",Kanye West
"('Kanye West - Sunday Service Experience', '/bands/kanye-west-sunday-service-experience')","('3 concerts', None)",Kanye West
"('Nirvana', '/bands/nirvana')","('310 concerts', None)",Nirvana
"('The Defiled', '/bands/the-defiled')","('66 concerts', None)",Nirvana
"('Elvana: Elvis Fronted Nirvana', '/bands/elvana-elvis-fronted-nirvana')","('21 concerts', None)",Nirvana
