,artist,search_result,page_url,concert_count,l_score,rank
3770,Blind Pilot,Blind Pilot,bands/blind-pilot,411,0,1.0
3771,The Radio Dept.,The Radio Dept.,bands/the-radio-dept,91,0,1.0
3772,Eluvium,Eluvium,bands/eluvium,105,0,1.0
3774,Chromatics,Chromatics,bands/chromatics,106,0,1.0
3783,The Cool Kids,The Cool Kids,bands/the-cool-kids,219,0,1.0
3786,Dead or Alive,Dead Or Alive,bands/dead-or-alive,59,1,1.0
3790,MxPx,MxPx,bands/mxpx--2,900,0,1.0
3827,The Faint,The Faint,bands/the-faint,483,0,1.0
3839,Forever the Sickest Kids,Forever the Sickest Kids,bands/forever-the-sickest-kids,644,0,1.0
3843,Neko Case,Neko Case,bands/neko-case,821,0,1.0
3848,Doris Day,Doris Day,bands/doris-day,1,0,1.0
3849,This Will Destroy You,This Will Destroy You,bands/this-will-destroy-you,447,0,1.0
3851,Aesop Rock,Aesop Rock,bands/aesop-rock,387,0,1.0
3856,The Gaslight Anthem,The Gaslight Anthem,bands/the-gaslight-anthem,834,0,1.0
3857,LeAnn Rimes,LeAnn Rimes,bands/leann-rimes,782,0,1.0
3860,Apollo 440,Apollo 440,bands/apollo-440,29,0,1.0
3861,Vitalic,Vitalic,bands/vitalic,231,0,1.0
3879,Kodaline,Kodaline,bands/kodaline,609,0,1.0
3883,Benjamin Francis Leftwich,Benjamin Francis Leftwich,bands/benjamin-francis-leftwich,296,0,1.0
3884,Bobby McFerrin,Bobby McFerrin,bands/bobby-mcferrin,286,0,1.0
3888,Bobby Womack,Bobby Womack,bands/bobby-womack,88,0,1.0
3891,Gang of Four,Gang Of Four,bands/gang-of-four,312,1,1.0
3892,Gentleman,Gentleman,bands/gentleman,237,0,1.0
3917,Cary Brothers,Cary Brothers,bands/cary-brothers,364,0,1.0
3918,Blood Red Shoes,Blood Red Shoes,bands/blood-red-shoes,662,0,1.0
3921,Coconut Records,Coconut Records,bands/coconut-records,1,0,1.0
3922,From First to Last,From First to Last,bands/from-first-to-last,647,0,1.0
3923,Alexandre Desplat,Alexandre Desplat,bands/alexandre-desplat,2,0,1.0
3924,Sparklehorse,Sparklehorse,bands/sparklehorse,113,0,1.0
3963,The Psychedelic Furs,The Psychedelic Furs,bands/the-psychedelic-furs,913,0,1.0
3964,Thirteen Senses,Thirteen Senses,bands/thirteen-senses,28,0,1.0
3965,Powerman 5000,Powerman 5000,bands/powerman-5000,1067,0,1.0
3966,Post Malone,Post Malone,bands/post-malone,638,0,1.0
3972,The Charlatans,The Charlatans,bands/the-charlatans,340,0,1.0
3975,Halsey,Halsey,bands/halsey,483,0,1.0
4000,White Zombie,White Zombie,bands/white-zombie,440,0,1.0
4007,Bananarama,Bananarama,bands/bananarama,138,0,1.0
4009,London Grammar,London Grammar,bands/london-grammar,318,0,1.0
4012,Glenn Miller,Glenn Miller Orchestra,bands/glenn-miller-orchestra,551,10,1.0
4017,Au Revoir Simone,Au Revoir Simone,bands/au-revoir-simone,196,0,1.0
4018,65daysofstatic,65daysofstatic,bands/65daysofstatic,380,0,1.0
4019,Robert Miles,Miles Winter Roberts,bands/miles-winter-roberts,1,15,1.0
4020,Everlast,Everlast,bands/everlast,430,0,1.0
4033,Ying Yang Twins,Ying Yang Twins,bands/ying-yang-twins,300,0,1.0
4035,Great Lake Swimmers,Great Lake Swimmers,bands/great-lake-swimmers,695,0,1.0
4038,Zac Brown Band,Zac Brown Band,bands/zac-brown-band,1272,0,1.0
4040,Procol Harum,Procol Harum,bands/procol-harum,283,0,1.0
4043,Dirty Projectors,Dirty Projectors,bands/dirty-projectors,435,0,1.0
