concert_date,concert_set_name,venue_name,venue_location,artist_name (foreign_key)
"Show Duplicates for Jun 14, 2017","Show Duplicates for Jun 14, 2017","Show Duplicates for Jun 14, 2017","Show Duplicates for Jun 14, 2017",Rihanna
11-Jun-17,"Northside Festival (Denmark) ""Northside Festival"" (Denmark) / Radiohead / The 1975 / Mando Diao / Agnes Obel / James Blake / Rasmus Walter / Thomas Dybdahl / LISS  Setlists",Adalen,"Aarhus, Central Jutland, Denmark",Rihanna
"Jun 09, 2017 –Jun 11, 2017",Northside 2017 Radiohead / Frank Ocean / Bastille / The 1975 / MØ / Run the Jewels / Agnes Obel / Veronica Maggio / The Afghan Whigs / Phlake / Thomas Helmig / She-Devils / Bisse  Setlists,Northside,"Aarhus, Central Jutland, Denmark",Rihanna
"Show Duplicates for Jun 09, 2017","Show Duplicates for Jun 09, 2017","Show Duplicates for Jun 09, 2017","Show Duplicates for Jun 09, 2017",Rihanna
7-Jun-17,Radiohead  Setlists,Oslo Spektrum,"Oslo, Oslo, Norway",Rihanna
"Show Duplicate for Jun 07, 2017","Show Duplicate for Jun 07, 2017","Show Duplicate for Jun 07, 2017","Show Duplicate for Jun 07, 2017",Rihanna
6-Jun-17,Radiohead  Setlists,Oslo Spektrum,"Oslo, Oslo, Norway",Rihanna
"Show Duplicate for Jun 06, 2017","Show Duplicate for Jun 06, 2017","Show Duplicate for Jun 06, 2017","Show Duplicate for Jun 06, 2017",Rihanna
"May 08, 2017 –Jan 08, 2017",Radiohead,,,Rihanna
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Lady Gaga / Radiohead / Kendrick Lamar / The xx / Lorde / Bon Iver / Bastille / Future / Two Door Cinema Club / DJ Khaled / Mac Miller / Gryffin / Tove Lo / ScHoolboy Q / Jai Wolf / Martin Garrix / Grouplove / Pond / Empire of the Sun / Gucci Mane / Tourist / Travis Scott / DJ Snake / Justice / New Order / Local Natives / Maya Jane Coles / Phantogram / Bonobo / Crystal Castles / Whitney / Capital Cities / Shura / Floating Points / The Head and the Heart / Blossoms / Röyksopp / Twin Peaks / Nora en Pure / Lil Uzi Vert / Arkells / BANKS / Little Dragon / Lee Fields & The Expressions / Galantis / Glass Animals / Hans Zimmer / Porter Robinson / Solomun / Kehlani / Mac DeMarco / Mitski / Dillon Francis / Tory Lanez / DJ Shadow / Real Estate / SOFI TUKKER / Warpaint / Autograf / Father John Misty / D.R.A.M. / Hot Since 82 / Devendra Banhart / Future Islands / Tycho / Anna Lunoe / Brodinski / Hinds / Four Tet / Oh Wonder / Marshmello / Madeon / Broods / Kaytranada / SNBRN / Sampha / Kiiara / Preoccupations / Skepta / Steve Angello / Mura Masa / Majid Jordan / Ezra Furman / GoldLink / Bicep / Nicolas Jaar / Thundercat / SOHN / Caveman / The Avalanches / Richie Hawtin / Tennis / Shannon and the Clams / Chicano Batman / Tale Of Us / Kaleo / Moderat / Toots & The Maytals / Daphni / What So Not / Stormzy / Jack Garratt / Big Gigantic / Preservation Hall Jazz Band / BreakBot / NAV / Raury / HONNE / Róisín Murphy / Classixx / Loco Dice / NAO / Denzel Curry / Sam Gellaitry / Kungs / T.S.O.L. / Francis and the Lights / Jagwar Ma / Bishop Briggs / JOSEPH / Allah-Las / King Gizzard & The Lizard Wizard / Grace Mitchell / Car Seat Headrest / Sasha / Hannah Wants / Guided By Voices / The Lemon Twigs / Dixon / Surf Curse / The Martinez Brothers / Pnl / Patrick Topping / S U R V I V E / Marcel Dettmann / The Interrupters / Tacocat / Slow Hollows / Eli & Fur / Klangstof / Banks & Steelz / Swet Shop Boys / Red Axes / Porter Robinson & Madeon / Floorplan / Ben UFO / Downtown Boys / Show Me The Body / DREAMCAR / Honey Dijon / Thee Commons / Zipper Club / DIAMANTE ELECTRICO / Tall Juan / Las Ligas Menores / Atomics / Los Blenders / QUITAPENAS / The Paranoyds / Surfbort / The Belleville Three / Alison Swing / Jen Ferrer / Dudu Tassa & The Kuwaitis / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Show Duplicates for Apr 21, 2017","Show Duplicates for Apr 21, 2017","Show Duplicates for Apr 21, 2017","Show Duplicates for Apr 21, 2017",Rihanna
19-Apr-17,Radiohead,,,Rihanna
18-Apr-17,Radiohead  Setlists,"William Randolph Hearst Greek Theatre, University of California, Berkeley","Berkeley, California, United States",Rihanna
17-Apr-17,Radiohead  Setlists,"William Randolph Hearst Greek Theatre, University of California, Berkeley","Berkeley, California, United States",Rihanna
"Show Duplicates for Apr 17, 2017","Show Duplicates for Apr 17, 2017","Show Duplicates for Apr 17, 2017","Show Duplicates for Apr 17, 2017",Rihanna
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017  Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Show Duplicates for Apr 14, 2017","Show Duplicates for Apr 14, 2017","Show Duplicates for Apr 14, 2017","Show Duplicates for Apr 14, 2017",Rihanna
11-Apr-17,Radiohead  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Rihanna
"Show Duplicates for Apr 11, 2017","Show Duplicates for Apr 11, 2017","Show Duplicates for Apr 11, 2017","Show Duplicates for Apr 11, 2017",Rihanna
9-Apr-17,Radiohead  Setlists,Moda Center at the Rose Quarter,"Portland, Oregon, United States",Rihanna
"Show Duplicates for Apr 09, 2017","Show Duplicates for Apr 09, 2017","Show Duplicates for Apr 09, 2017","Show Duplicates for Apr 09, 2017",Rihanna
8-Apr-17,A Moon Shaped Pool  Setlists,Climate Pledge Arena,"Seattle, Washington, United States",Rihanna
"Show Duplicates for Apr 08, 2017","Show Duplicates for Apr 08, 2017","Show Duplicates for Apr 08, 2017","Show Duplicates for Apr 08, 2017",Rihanna
5-Apr-17,Radiohead Radiohead  Setlists,Sprint Center,"Kansas City, Missouri, United States",Rihanna
"Show Duplicates for Apr 05, 2017","Show Duplicates for Apr 05, 2017","Show Duplicates for Apr 05, 2017","Show Duplicates for Apr 05, 2017",Rihanna
20-Jun-17,Radiohead  Setlists,3Arena,"Dublin, Leinster, Ireland",Rihanna
20-Jun-17,Radiohead  Setlists,3 Arena,"Dublin, Leinster, Ireland",Rihanna
20-Jun-17,LIVE AT 3 ARENA Radiohead  Setlists,3Arena,"Dublin, Leinster, Ireland",Rihanna
20-Jun-17,Radiohead  Setlists,3Arena,"Dublin, Leinster, Ireland",Rihanna
18-Jun-17,Best Kept Secret Sunday 2017  Setlists,Safaripark Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
18-Jun-17,Best Kept Secret 2017 Kaleo / Fil Bo Riva / Ry X / Soulwax / James Blake / Radiohead  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
18-Jun-17,Best Kept Secret Festival 2017  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
18-Jun-17,Best Kept Secret 2017 Sunday Cass McCombs / Kaleo / Radiohead / Zeal & Ardor / Aurora  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
18-Jun-17,Best Kept Secret Festival 2017 (#BKS17) James Blake / Radiohead / Strand of Oaks / Kaleo  Setlists,Safaripark Beekse Bergen,"Hilvarenbeek, The Netherlands",Rihanna
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017 Radiohead / Arcade Fire / James Blake / George Ezra / Metronomy / Real Estate / Run The Jewels / Agnes Obel / Thundercat / Wild Beasts / Kaleo / Cloud Nothings / The Boxer Rebellion / Cass McCombs / Soulwax / Ry X / Cigarettes After Sex / King Gizzard & The Lizard Wizard / Her / Hundred Waters / The Japanese House / Whitney / Floating Points / Sundara Karma / American Football / Tei Shi / Joy Orbison / Mitski / Aurora (US) / Andy Shauf / Thomas Dybdahl / Arab Strap / Tall Heights / Honeyblood / Strand of Oaks / The Wytches / Laurel Halo / Joey Purp / Weval / Section Boyz / The Amazons / Jenny Hval / Froth / Girl Band / Thomas Azier / Leif Vollebekk / Yussef Kamaal / Kaitlyn Aurelia Smith / Marlon Williams / Chris Cohen / Kelly Lee Owens / Kikagaku Moyo / The Courtneys / Kadhja Bonet / Amber Arcades / Vatican Shadow / The Parrots / Fil Bo Riva / Kim Janssen / Kornél Kovács / Tommy Cash / Show Me The Body / Zeal and Ardor / SLØTFACE / The Mystery Lights / STUFF. / Mannequin Pussy / WILDES / Denis Sulta / Shye Ben Tzur / Yung Internet / Thurston Moore Group / Canshaker Pi / DJ Prime / Iguana Death Cult / Junun / Toxe / The Homesick (nl) Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017  Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017 Radiohead / Arcade Fire / James Blake / George Ezra / Her / Cigarettes After Sex / Metronomy / Mitski / Kaleo / Thundercat / Real Estate / Run the Jewels / Agnes Obel / King Gizzard & The Lizard Wizard / Ry X / The Japanese House / Whitney / Cass McCombs / Wild Beasts / Cloud Nothings / Soulwax / Sundara Karma / The Boxer Rebellion / Floating Points / Hundred Waters / Tei Shi / Joey Purp / American Football / Andy Shauf / Tall Heights / Weval / The Amazons / Joy Orbison / Kikagaku Moyo / Kadhja Bonet / Arab Strap / Thomas Dybdahl / Leif Vollebekk / Strand of Oaks / Kelly Lee Owens / Jenny Hval / Honeyblood / Marlon Williams / Laurel Halo / Aurora (US) / Tommy Cash / Zeal & Ardor / The Wytches / Yussef Kamaal / Fil Bo Riva / Froth / Gilla Band / Mannequin Pussy / Show Me The Body / Section Boyz / Kaitlyn Aurelia Smith / Thomas Azier / Kornél Kovács / Denis Sulta / Chris Cohen / SLØTFACE / Amber Arcades / The Courtneys / The Mystery Lights / WILDES / The Parrots / Shye Ben Tzur / Vatican Shadow / STUFF. / Yung Internet / Kim Janssen / Thurston Moore Group / The Homesick / Iguana Death Cult / Canshaker Pi / Toxe / Junun / DJ Prime Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017 Radiohead / Arcade Fire / James Blake / George Ezra / Metronomy / Real Estate / Run The Jewels / Thundercat / Kaleo / Agnes Obel / Wild Beasts / Cloud Nothings / The Boxer Rebellion / Cass McCombs / Her / Soulwax / Cigarettes After Sex / RY X / King Gizzard & The Lizard Wizard / The Japanese House / Whitney / Hundred Waters / Floating Points / Sundara Karma / Tei Shi / American Football / Mitski / Joy Orbison / Aurora (US) / Andy Shauf / Tall Heights / Thomas Dybdahl / Arab Strap / Honeyblood / Strand of Oaks / Joey Purp / The Wytches / Laurel Halo / Weval / The Amazons / Section Boyz / Jenny Hval / Froth / Girl Band / Leif Vollebekk / Thomas Azier / Yussef Kamaal / Kaitlyn Aurelia Smith / Marlon Williams / Kelly Lee Owens / Chris Cohen / Kikagaku Moyo / Kadhja Bonet / The Courtneys / Amber Arcades / Fil Bo Riva / Tommy Cash / Kornél Kovács / Vatican Shadow / Show Me The Body / Zeal and Ardor / The Parrots / Kim Janssen / SLØTFACE / The Mystery Lights / STUFF. / Mannequin Pussy / WILDES / Denis Sulta / Shye Ben Tzur / Yung Internet / Thurston Moore Group / Canshaker Pi / Iguana Death Cult / DJ Prime / Junun / Toxe / The Homesick Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Rihanna
"Jun 15, 2017 –Jun 18, 2017",I-Days 2017 Justin Bieber / Radiohead / Green Day / Bastille / blink-182 / Martin Garrix / Linkin Park / James Blake / Sum 41 / Michael Kiwanuka / Nothing But Thieves / Rancid / ALMA / Pumarosa / Tre Allegri Ragazzi Morti / Ex-Otago / Guido Dos Santos / Sick Tamburo / Shandon / HalfLives / Mamacita / Linoleum / Santa Margaret Show all bands Setlists,Autodromo Di Monza,"Monza, Lombardy, Italy",Rihanna
"Jun 15, 2017 –Jun 18, 2017",I-Days 2017 Justin Bieber / Radiohead / Green Day / Bastille / blink-182 / Martin Garrix / Linkin Park / James Blake / Sum 41 / Michael Kiwanuka / Nothing But Thieves / Rancid / ALMA / Pumarosa / Tre Allegri Ragazzi Morti / Ex-Otago / Guido Dos Santos / Sick Tamburo / Shandon / HalfLives / Mamacita / Linoleum / Santa Margaret Show all bands Setlists,Autodromo Di Monza,"Monza, Lombardy, Italy",Rihanna
"Jun 15, 2017 –Jun 18, 2017",I-Days 2017 Justin Bieber / Radiohead / Green Day / Bastille / blink-182 / Martin Garrix / Linkin Park / James Blake / Sum 41 / Michael Kiwanuka / Nothing But Thieves / Rancid / ALMA / Pumarosa / Tre Allegri Ragazzi Morti / Ex-Otago / Guido Dos Santos / Sick Tamburo / Shandon / HalfLives / Mamacita / Linoleum / Santa Margaret Show all bands Setlists,Autodromo Di Monza,"Monza, Lombardy, Italy",Rihanna
"Jun 15, 2017 –Jun 18, 2017",I-Days 2017 Justin Bieber / Radiohead / Green Day / blink-182 / Bastille / Linkin Park / Martin Garrix / James Blake / Sum 41 / Michael Kiwanuka / Rancid / Nothing But Thieves / ALMA / Pumarosa / Tre Allegri Ragazzi Morti / Ex-Otago / Guido Dos Santos / Sick Tamburo / HalfLives / Shandon / Mamacita / Linoleum / Santa Margaret Show all bands Setlists,Autodromo Di Monza,"Monza, Lombardy, Italy",Rihanna
"Jun 15, 2017 –Jun 18, 2017",I-Days 2017 Justin Bieber / Radiohead / Green Day / Bastille / blink-182 / Martin Garrix / Linkin Park / James Blake / Sum 41 / Michael Kiwanuka / Nothing But Thieves / Rancid / ALMA / Pumarosa / Tre Allegri Ragazzi Morti / Ex-Otago / Guido Dos Santos / Sick Tamburo / Shandon / HalfLives / Mamacita / Linoleum / Santa Margaret Show all bands Setlists,Autodromo Di Monza,"Monza, Lombardy, Italy",Rihanna
14-Jun-17,Radiohead  Setlists,Visarno Arena - Parco Delle Cascine,"Florence, Tuscany, Italy",Rihanna
14-Jun-17,firenze rocks Radiohead  Setlists,Ippodromo del Visarno,"Florence, Tuscany, Italy",Rihanna
14-Jun-17,Radiohead  Setlists,Visarno Arena - Parco Delle Cascine,"Florence, Tuscany, Italy",Rihanna
14-Jun-17,Radiohead Radiohead  Setlists,Ippodromo del Visarno,"Florence, Tuscany, Italy",Rihanna
"Jun 09, 2017 –Jun 11, 2017",Northside 2017 Radiohead / Frank Ocean / Bastille / The 1975 / MØ / Run the Jewels / Agnes Obel / Veronica Maggio / The Afghan Whigs / Phlake / Thomas Helmig / She-Devils / Bisse  Setlists,Northside,"Aarhus, Central Jutland, Denmark",Rihanna
"Jun 09, 2017 –Jun 11, 2017",Northside 2017  Setlists,Northside,"Aarhus, Central Jutland, Denmark",Rihanna
9-Jun-17,Radiohead Radiohead / Junun  Setlists,Ericsson Globe Arena,"Stockholm, Stockholm, Sweden",Rihanna
9-Jun-17,Radiohead / Junun  Setlists,Ericsson Globe Arena,"Stockholm, Stockholm, Sweden",Rihanna
7-Jun-17,Radiohead  Setlists,Oslo Spektrum,"Oslo, Oslo, Norway",Rihanna
6-Jun-17,Radiohead  Setlists,Oslo Spektrum,"Oslo, Oslo, Norway",Rihanna
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Phantogram / Guided By Voices / Arkells / Crystal Castles / Two Door Cinema Club / Kendrick Lamar / Preservation Hall Jazz Band / Grouplove / Capital Cities / Bon Iver / T.S.O.L. / Local Natives / New Order / Father John Misty / Real Estate / Devendra Banhart / The xx / Lady Gaga / Madeon / Dillon Francis / DJ Shadow / Justice / Future Islands / Tennis / Caveman / Empire of the Sun / Porter Robinson / Radiohead / Warpaint / Tacocat / Travis Scott / Toots & The Maytals / Mac DeMarco / Lorde / Jagwar Ma / The Head and the Heart / Richie Hawtin / Big Gigantic / Röyksopp / Bonobo / Thundercat / Classixx / Tycho / Little Dragon / Lee Fields & The Expressions / Glass Animals / Mac Miller / What So Not / Tove Lo / Hot Since 82 / Mitski / Car Seat Headrest / The Avalanches / Martin Garrix / Jack Garratt / Four Tet / Pond / DJ Snake / Skepta / Future / Kaleo / Ezra Furman / Tourist / Nicolas Jaar / Thee Commons / Hinds / Raury / Autograf / Broods / SNBRN / Sasha / Kaytranada / Galantis / Anna Lunoe / Downtown Boys / Tall Juan / Blossoms / Denzel Curry / Bastille / D.R.A.M. / Brodinski / BANKS / Chicano Batman / Allah-Las / Solomun / Bicep / The Martinez Brothers / Dixon / Loco Dice / Steve Angello / The Lemon Twigs / Jai Wolf / NAO / Shura / Maya Jane Coles / Hannah Wants / Stormzy / Oh Wonder / Kehlani / Moderat / Whitney / Róisín Murphy / Honey Dijon / Marshmello / Grace Mitchell / Marcel Dettmann / DJ Khaled / Bishop Briggs / Tory Lanez / Floating Points / Preoccupations / Patrick Topping / Lil Uzi Vert / Show Me The Body / Kiiara / ScHoolboy Q / HONNE / Nora en Pure / Sam Gellaitry / Mura Masa / Gryffin / Banks & Steelz / SOHN / Majid Jordan / Ben UFO / Zipper Club / Hans Zimmer / S U R V I V E / Kungs / Surfbort / Los Blenders / Eli & Fur / Francis and the Lights / Slow Hollows / Klangstof / Surf Curse / Sampha / Gucci Mane / King Gizzard & The Lizard Wizard / Dudu Tassa & The Kuwaitis / Daphni / NAV / Pnl / Floorplan / Red Axes / Swet Shop Boys / Porter Robinson & Madeon / DIAMANTE ELECTRICO / Atomics / Las Ligas Menores / QUITAPENAS / DREAMCAR / Alison Swing / The Belleville Three / Jen Ferrer / Chris Cruse / The Interrupters / The Paranoyds / JOSEPH / GoldLink / BreakBot / Twin Peaks / SOFI TUKKER / Shannon and the Clams / Tale Of Us Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Kendrick Lamar / Lady Gaga / Radiohead / The xx / Lorde / Future / Bon Iver / Bastille / DJ Khaled / Two Door Cinema Club / Travis Scott / Gucci Mane / Tove Lo / Martin Garrix / Mac Miller / ScHoolboy Q / DJ Snake / Grouplove / Empire of the Sun / Lil Uzi Vert / New Order / Justice / Kehlani / Marshmello / Bonobo / Local Natives / Phantogram / The Head and the Heart / Tory Lanez / Capital Cities / Galantis / Crystal Castles / Glass Animals / BANKS / Little Dragon / Mac DeMarco / Hans Zimmer / Röyksopp / D.R.A.M. / Dillon Francis / Porter Robinson / Oh Wonder / Father John Misty / Real Estate / DJ Shadow / GoldLink / Kaytranada / Skepta / Future Islands / Sampha / Kiiara / Warpaint / Mura Masa / Devendra Banhart / Four Tet / Tycho / NAV / Broods / Majid Jordan / Madeon / Kaleo / Stormzy / Thundercat / Steve Angello / Denzel Curry / Nicolas Jaar / The Avalanches / HONNE / SOHN / What So Not / Moderat / Tennis / Raury / Jack Garratt / NAO / Toots & The Maytals / Bishop Briggs / Big Gigantic / Breakbot / Kungs / Francis and the Lights / Gryffin / Róisín Murphy / King Gizzard & The Lizard Wizard / Car Seat Headrest / Classixx / Jai Wolf / Sofi Tukker / Allah-Las / Whitney / Jagwar Ma / Blossoms / Pond / Sasha / Mitski / Tourist / Guided By Voices / Maya Jane Coles / Shura / Nora en Pure / Floating Points / twin peaks / Solomun / Autograf / Arkells / Lee Fields & The Expressions / Bicep / Hot Since 82 / Hinds / SNBRN / Ezra Furman / Anna Lunoe / Chicano Batman / Brodinski / Preoccupations / Tale of Us / Shannon and The Clams / Sam Gellaitry / Daphni / Richie Hawtin / Caveman / The Lemon Twigs / Joseph / Preservation Hall Jazz Band / Grace Mitchell / Surf Curse / Loco Dice / Hannah Wants / T.S.O.L. / Pnl / The Interrupters / Patrick Topping / Dixon / The Martinez Brothers / S U R V I V E / Slow Hollows / Eli & Fur / Klangstof / Marcel Dettmann / Tacocat / Red Axes / Banks & Steelz / Floorplan / Porter Robinson & Madeon / Show Me The Body / Swet Shop Boys / Honey Dijon / Downtown Boys / DREAMCAR / Ben UFO / Thee Commons / Las Ligas Menores / Zipper Club / DIAMANTE ELECTRICO / Surfbort / Los Blenders / Tall Juan / Atomics / QUITAPENAS / The Paranoyds / The Belleville Three / Dudu Tassa & The Kuwaitis / Jen Ferrer / Alison Swing / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Kendrick Lamar / Lady Gaga / Radiohead / Future / Lorde / Travis Scott / The xx / Bastille / Bon Iver / DJ Khaled / Gucci Mane / Two Door Cinema Club / Martin Garrix / Tove Lo / DJ Snake / ScHoolboy Q / Lil Uzi Vert / Marshmello / Mac Miller / Kehlani / Grouplove / Empire of the Sun / Tory Lanez / New Order / Justice / Galantis / Mac DeMarco / Bonobo / Glass Animals / The Head and the Heart / Local Natives / Phantogram / Hans Zimmer / BANKS / Capital Cities / Little Dragon / Crystal Castles / Oh Wonder / D.R.A.M. / GoldLink / Röyksopp / NAV / Skepta / Dillon Francis / Stormzy / Kaytranada / Porter Robinson / Mura Masa / Father John Misty / Kiiara / Sampha / DJ Shadow / Denzel Curry / Real Estate / Kaleo / Four Tet / Future Islands / Majid Jordan / Tycho / Devendra Banhart / Warpaint / Broods / Thundercat / Madeon / HONNE / Bishop Briggs / Gryffin / NAO / The Avalanches / What So Not / Steve Angello / Nicolas Jaar / Raury / Kungs / Moderat / SOHN / Breakbot / Jack Garratt / Tennis / Francis and the Lights / Big Gigantic / Toots & The Maytals / King Gizzard & The Lizard Wizard / Sofi Tukker / Car Seat Headrest / Mitski / Jai Wolf / Whitney / Róisín Murphy / Blossoms / Allah-Las / Classixx / Pond / Tourist / Sasha / Nora en Pure / Jagwar Ma / Bicep / Shura / Floating Points / Solomun / Guided By Voices / Maya Jane Coles / twin peaks / Autograf / Lee Fields & The Expressions / Arkells / SNBRN / Ezra Furman / Hot Since 82 / Surf Curse / Chicano Batman / Pnl / Hinds / Anna Lunoe / Tale of Us / Preoccupations / Brodinski / Shannon and The Clams / The Interrupters / Daphni / Sam Gellaitry / Joseph / The Lemon Twigs / Richie Hawtin / Grace Mitchell / Patrick Topping / Hannah Wants / Preservation Hall Jazz Band / Caveman / Loco Dice / T.S.O.L. / Dixon / The Martinez Brothers / Eli & Fur / Slow Hollows / S U R V I V E / Klangstof / Tacocat / Marcel Dettmann / Show Me The Body / Red Axes / Honey Dijon / Floorplan / Banks & Steelz / Porter Robinson & Madeon / Swet Shop Boys / Downtown Boys / DREAMCAR / Ben UFO / Las Ligas Menores / Surfbort / DIAMANTE ELECTRICO / Thee Commons / Los Blenders / Zipper Club / The Paranoyds / Tall Juan / Atomics / QUITAPENAS / The Belleville Three / Dudu Tassa & The Kuwaitis / Jen Ferrer / Alison Swing / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Kendrick Lamar / Joseph / The Lemon Twigs / SNBRN / Stormy / Preservation Hall Jazz Band / Bonobo / Avalanche / Mac Miller / BANKS / Father John Misty / The XX / Travis Scott / Radiohead / Swet Shop Boys / Blossoms / Eli and Fur / Las Ligas Menores / Local Natives / Bank & Steelz / RZA / Car Seat Headrest / Chicano Batman / Head and the heart / Bastille / Future / ScHoolboy Q / Bon Iver / Lady Gaga / Grace Mitchell / Preoccupations / Ezra Furman / Lee Fields & The Expressions / Show Me The Body / Lil Uzi Vert / Kaytranada / DJ Khaled / Hans Zimmer Show all bands Setlists,,"Indio, California, United States",Rihanna
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Dudu Tassa & The Kuwaitis / Zipper Club / Joseph / The Lemon Twigs / Stormzy / Preservation Hall Jazz Band / Sampha / Raury / Francis & The Lights / Oh Wonder / Phantogram / The xx / Radiohead / Swet Shop Boys / Shura / Mitski / Banks & Steelz / Car Seat Headrest / Thundercat / Tycho / Future / ScHoolboy Q / Bon Iver / DJ Snake / Lady Gaga / Grace Mitchell / Ezra Furman / Lee Fields & The Expressions / Tourist / Grouplove / Kiiara / DJ Khaled / Hans Zimmer / Lorde / Kendrick Lamar Show all bands Setlists,Coachella,"Indio, California, United States",Rihanna
17-Apr-17,Radiohead  Setlists,Greek Theatre,"Los Angeles, California, United States",Rihanna
17-Apr-17,Radiohead  Setlists,,,Rihanna
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017  Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017 Louis The Child / twin peaks / Joseph / Loco Dice / Breakbot / Tale of Us / Sofi Tukker / Shannon and The Clams / Capital Cities / Toots & The Maytals / Gryffin / Dillon Francis / SNBRN / Atomics / Skepta / Nora en Pure / Grace Mitchell / Patrick Topping / Tycho / Slow Hollows / The Martinez Brothers / DREAMCAR / Jai Wolf / Thee Commons / Ben UFO / Surfbort / DJ Snake / Richie Hawtin / What So Not / Chris Cruse / Kaleo / Maya Jane Coles / Denzel Curry / Lil Uzi Vert / The Interrupters / Stormzy / Bicep / Las Ligas Menores / Swet Shop Boys / Hinds / Tennis / Warpaint / The Belleville Three / Mitski / Tall Juan / Steve Angello / SOHN / Solomun / Anna Lunoe / Dudu Tassa & The Kuwaitis / Eli & Fur / Broods / Honey Dijon / Lee Fields & The Expressions / Brodinski / Marcel Dettmann / Tory Lanez / Devendra Banhart / Lorde / The xx / Róisín Murphy / Floorplan / Tacocat / Four Tet / Caveman / Real Estate / Big Gigantic / NAV / D.R.A.M. / QUITAPENAS / Raury / Father John Misty / Downtown Boys / Glass Animals / Preservation Hall Jazz Band / Jonnie King / Mac Miller / Mac DeMarco / Guided By Voices / The Paranoyds / S U R V I V E / Hannah Wants / Sam Gellaitry / DIAMANTE ELECTRICO / Daphni / Nicolas Jaar / Klangstof / New Order / Hot Since 82 / Phantogram / Crystal Castles / Two Door Cinema Club / Grouplove / T.S.O.L. / DJ Shadow / Empire of the Sun / Radiohead / Travis Scott / Jagwar Ma / Bonobo / Little Dragon / The Avalanches / Bastille / BANKS / The Lemon Twigs / Oh Wonder / Kiiara / HONNE / Zipper Club / Hans Zimmer / Francis and the Lights / Sampha / King Gizzard & The Lizard Wizard / Arkells / Bon Iver / Local Natives / Lady Gaga / The Head and the Heart / Röyksopp / Thundercat / Classixx / Car Seat Headrest / Martin Garrix / Pond / Blossoms / Chicano Batman / Shura / Moderat / Floating Points / ScHoolboy Q / Banks & Steelz / Majid Jordan / Gucci Mane / Kendrick Lamar / Madeon / Justice / Future Islands / Porter Robinson / Tove Lo / Jack Garratt / Future / Ezra Furman / Tourist / Autograf / Sasha / Kaytranada / Galantis / Allah-Las / Dixon / NAO / Kehlani / Whitney / Marshmello / DJ Khaled / Bishop Briggs / Preoccupations / Show Me The Body / Mura Masa / Kungs / Los Blenders / Surf Curse / Pnl / Red Axes / Porter Robinson & Madeon / Alison Swing / Jen Ferrer / GoldLink Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Rihanna
