Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
,,,,,,,,
David Gray,David Peter Gray,1968|6|13,Sale,1992–present,"Vocals, guitar, piano, keyboards, harmonica",David Gray (musician),"<p class=""mw-empty-elt"">

</p>

<p><b>David Peter Gray</b> (born 13 June 1968) is a British singer-songwriter. He released his first album in 1993 and received worldwide attention after the release of <i>White Ladder</i> six years later. <i>White Ladder</i> was the first of three UK chart-toppers in six years for Gray; it became the fifth best-selling album of the 2000s in the UK and ranked as the tenth best-selling album of the 21st century in the United Kingdom in October 2019. Gray is also known for the hit single ""Babylon"" from the <i>White Ladder</i> album. He has received four Brit Award nominations, including two nominations for Best British Male.</p>


",
,,,,,,,,
Kelly Rowland,Kelendria Trene Rowland,1981|2|11,Atlanta,1997–present,Vocals,Kelly Rowland,"<p class=""mw-empty-elt"">
</p>
<p><b>Kelendria Trene Rowland</b> (born February 11, 1981) is an American singer, actress, and television personality. She rose to fame in the late 1990s as a member of Destiny's Child, one of the world's best-selling girl groups of all time. During the group's three-year hiatus, Rowland released her debut solo studio album, <i>Simply Deep</i> (2002), which debuted at number one on the UK Albums Chart and sold over 3 million copies worldwide. It included the <i>Billboard</i> Hot 100 number-one single ""Dilemma"" (with Nelly), as well as the UK top-five hits ""Stole"" and ""Can't Nobody"". Rowland also ventured into acting with starring roles in the successful films <i>Freddy vs. Jason</i> (2003) and <i>The Seat Filler</i> (2005).
</p><p>Following the disbanding of Destiny's Child in 2006, Rowland released her second studio album, <i>Ms. Kelly</i> (2007), which produced the international top-ten hits ""Like This"" (featuring Eve) and ""Work"". In 2009, she hosted the first season of <i>The Fashion Show,</i> and was featured on David Guetta's ""When Love Takes Over"", which topped the charts in several countries. Its success influenced Rowland to explore electronic dance music on her third studio album, <i>Here I Am</i> (2011), which spawned the UK top-ten singles ""Commander"" (featuring David Guetta), ""Down for Whatever"" and ""What a Feeling"", as a well as the hit Electro-R&amp;B single ""Motivation"" (featuring Lil Wayne). Her fourth studio album, <i>Talk a Good Game</i> (2013), became her third top-ten album on the US <i>Billboard</i> 200 chart. Rowland was a television judge on the eighth season of <i>The X Factor UK</i> (2011), as well as the third season of <i>The X Factor USA</i> (2013). She has continued her television career by hosting <i>Chasing Destiny</i> (2016) and starred as a coach on <i>The Voice Australia</i> (2017–2020).
</p><p>Throughout her career, Rowland has sold over 40 million records as a solo artist, and a further 60 million records with Destiny's Child. Her work has earned her several awards and nominations, including five Grammy Awards, one <i>Billboard</i> Music Award, and two Soul Train Music Awards. Rowland has also received a star on the Hollywood Walk of Fame as part of Destiny's Child, and as a solo artist, she has been honored by the American Society of Composers, Authors and Publishers and <i>Essence</i> for her contributions to music. In 2014, Fuse ranked Rowland in their ""100 Most Award-Winning Artists"" list at number 20.</p>


",
,,,,,,,,
Ray LaMontagne,Raymond Charles Jack LaMontagne,1973|06|18,{{flatlist,,"*Vocals
*guitar
*piano
*harmonica",Ray LaMontagne,"<p class=""mw-empty-elt"">
</p>

<p><b>Raymond Charles Jack LaMontagne</b> (<span></span>; born June 18, 1973) is an American singer-songwriter and musician. LaMontagne has released eight studio albums: <i>Trouble</i>, <i>Till the Sun Turns Black</i>, <i>Gossip in the Grain</i>, <i>God Willin' &amp; the Creek Don't Rise</i>, <i>Supernova</i>, <i>Ouroboros</i>, <i>Part of the Light</i>, and <i>Monovision</i>. He was born in New Hampshire and was inspired to create music after hearing an album by Stephen Stills.  Critics have compared LaMontagne's music to that of Otis Redding, Ryan Adams, Beck, Pink Floyd, The Band, Van Morrison, Nick Drake and Tim Buckley.
</p>


",
,,,,,,,,
Tracy Chapman,,1964|3|30,Cleveland,1986–present,Vocals|guitar|harmonica,Tracy Chapman,"<p class=""mw-empty-elt"">
</p>

<p><b>Tracy Chapman</b> (born March 30, 1964) is an American singer-songwriter. Chapman is best known for her hit singles ""Fast Car"" and ""Give Me One Reason"".
</p><p>Chapman was signed to Elektra Records by Bob Krasnow in 1987. The following year she released her debut album, <i>Tracy Chapman</i>, which became a commercial success, boosted by her appearance at the Nelson Mandela 70th Birthday Tribute concert, and was certified 6× Platinum by the Recording Industry Association of America. The album received six Grammy Award nominations, including one for Album of the Year, three of which she won; Best New Artist, Best Female Pop Vocal Performance for her single ""Fast Car"", and Best Contemporary Folk Album. In 1989, Chapman released her second album, <i>Crossroads</i>, which earned her an additional Grammy Award nomination for Best Contemporary Folk Album. Her third album, <i>Matters of the Heart</i>, followed in 1992.
</p><p>Chapman's fourth album, <i>New Beginning</i>, was released in 1995 and became another worldwide success. It was certified 5× platinum by the RIAA and yielded the hit single ""Give Me One Reason"", which earned Chapman the Grammy Award for Best Rock Song. Five years would pass before the release of her fifth album, <i>Telling Stories</i> (2000). <i>Let It Rain</i> and <i>Where You Live</i> followed in 2002 and 2005, respectively. Chapman's most recent studio album is <i>Our Bright Future</i>, released in 2008. The remastered compilation album <i>Greatest Hits</i>, which was curated by Chapman herself, was released in 2015.
</p>",
,,,,,,,,
will.i.am,William James Adams Jr.,1975|3|15,Los Angeles,1988–present,,Will.i.am,"<p class=""mw-empty-elt"">
</p>
<p><b>William James Adams Jr.</b> (born March 15, 1975), known professionally as <b>will.i.am</b> (pronounced ""Will-I-am""), is an American rapper, singer, songwriter, actor, and record producer. He rose to prominence as the founder and lead member of the Black Eyed Peas.
</p><p>As a solo artist, will.i.am has released four albums, beginning with <i>Lost Change</i> (2001), through Atlantic Records. His second solo outing, <i>Must B 21</i>, was released on September 23, 2003. The track ""Go!"" was regularly used as the theme for the <i>NBA Live 2005</i> and <i>Madden NFL 2005</i> seasons. The third album, <i>Songs About Girls</i>, was released on September 25, 2007. He released his fourth studio album, <i>#willpower</i>, in 2013.
</p><p>As a music producer, will.i.am has worked for other artists including A.R. Rahman, Cheryl, Michael Jackson, Justin Bieber, Kesha, Britney Spears, Miley Cyrus, David Guetta, U2, Rihanna, Lady Gaga, Usher, Justin Timberlake, Nicki Minaj, 2NE1, and Baby Kaely. In collaborations and with the Black Eyed Peas, he has a total of 41 top-40 entries on the UK Singles Chart since 1998, and has sold 9.4 million singles in the UK.</p><p>In addition to his music career, will.i.am has also been a judge and mentor on the television talent show series <i>The Voice UK</i> (2012–present), <i>The Voice Australia</i> (2014), and <i>The Voice Kids</i> (2017–present). He is the recipient of a Latin Grammy Award, a Daytime Emmy Award, and seven Grammy Awards.
</p>",
,,,,,,,,
Robin Thicke,,1977|3|10,Los Angeles,1994–present,,Robin Thicke,"<p class=""mw-empty-elt"">
</p>
<p><b>Robin Alan Thicke</b> (born March 10, 1977) is an American singer, songwriter and record producer. He is best known for his 2013 hit single ""Blurred Lines"", which is one of the best-selling singles of all time. At the 56th Annual Grammy Awards, he received nominations for Record of the Year and Best Pop Duo/Group Performance.
</p><p>Thicke is a son of actress Gloria Loring and actor Alan Thicke. He has collaborated with numerous artists, such as Nicki Minaj, 3T, T.I., Christina Aguilera, Jessie J, K. Michelle, Pharrell, DJ Cassidy, Usher, Jennifer Hudson, Flo Rida, Brandy, Kid Cudi, Mary J. Blige, Emily Ratajkowski and composed songs for Marc Anthony. He worked on albums such as Usher's <i>Confessions</i> and Lil Wayne's <i>Tha Carter III</i>, while releasing his own R&amp;B singles in the United States including ""Lost Without U"", ""Magic"", and ""Sex Therapy"". He is currently a judge on the Fox musical competition show <i>The Masked Singer</i>.
</p>",
,,,,,,,,
