Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
Rihanna,Robyn Rihanna Fenty,1988|2|20,Saint Michael,2003–present,Vocals,Rihanna,"<p class=""mw-empty-elt"">



</p>
<p><b>Robyn Rihanna Fenty</b>  (<span> <span></span></span> <i title=""English pronunciation respelling"">ree-<span>AN</span>-ə</i>; born February 20, 1988) is a Barbadian singer, actress, and businesswoman. Born in Saint Michael and raised in Bridgetown, Barbados, Rihanna auditioned for American record producer Evan Rogers who invited her to the United States to record demo tapes. After signing with Def Jam in 2005, she soon gained recognition with the release of her first two studio albums, <i>Music of the Sun</i> (2005) and <i>A Girl Like Me</i> (2006), both of which were influenced by Caribbean music and peaked within the top ten of the US <i>Billboard</i> 200 chart.
</p><p>Rihanna's third album, <i>Good Girl Gone Bad</i> (2007), incorporated elements of dance-pop and established her status as a sex symbol in the music industry. The chart-topping single ""Umbrella"" earned Rihanna her first Grammy Award and catapulted her to global stardom. She continued to mix pop, dance, and R&amp;B genres on her next studio albums, <i>Rated R</i> (2009), <i>Loud</i> (2010), <i>Talk That Talk</i> (2011), and <i>Unapologetic</i> (2012), the latter of which became her first <i>Billboard</i> 200 number one. The albums spawned a string of chart-topping singles, including ""Rude Boy"", ""Only Girl (In the World)"", ""What's My Name?"", ""S&amp;M"", ""We Found Love"", ""Where Have You Been"" and ""Diamonds"". Her eighth album, <i>Anti</i> (2016), showcased a new creative control following her departure from Def Jam. It became her second US number one album and featured the chart-topping single ""Work"". During her musical career, Rihanna has collaborated with many artists, such as Drake, Eminem, Jay-Z, Kanye West, Ne-Yo, and Shakira.
</p><p>With sales of over 250 million records worldwide, Rihanna is the second-best-selling female music artist of all time. She has earned 14 number-ones and 31 top-ten singles in the US and 30 top-ten entries in the UK. Her accolades include nine Grammy Awards, 13 American Music Awards (including the Icon Award), 12 <i>Billboard</i> Music Awards, six <i>Guinness World Records</i>, the NAACP's President's Award, and an Academy Award nomination. <i>Time</i> named her one of the 100 most influential people in the world in 2012 and 2018. <i>Forbes</i> ranked her among the top ten highest-paid celebrities in 2012 and 2014. As of 2022, she is the wealthiest female musician, with an estimated net worth of $1.4 billion.</p><p>Aside from music, Rihanna is known for her involvement in humanitarian causes, entrepreneurial ventures, and the fashion industry. She is the founder of the nonprofit organization Clara Lionel Foundation, cosmetics brand Fenty Beauty, and fashion house Fenty under LVMH; she is the first black woman to head a luxury brand for LVMH. Rihanna has also ventured into acting, appearing in major roles in <i>Battleship</i> (2012), <i>Home</i> (2015), <i>Valerian and the City of a Thousand Planets</i> (2017), and <i>Ocean's 8</i> (2018). She was appointed as an ambassador of education, tourism, and investment by the Government of Barbados in 2018 and was declared a National Hero of Barbados on the first day of the country's parliamentary republic in 2021, entitling her to the style of ""The Right Excellent"" for life.</p>

"
Eminem,Marshall Bruce Mathers III,1972|10|17,St. Joseph,,,Eminem,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">

</p>
<p><b>Marshall Bruce Mathers III</b> (born October 17, 1972), known professionally as <b>Eminem</b> (<span></span>; often stylized as <b>EMINƎM</b>), is an American rapper and record producer. He is credited with popularizing hip hop in middle America and is critically acclaimed as one of the greatest rappers of all time. Eminem's global success and acclaimed works are widely regarded as having broken racial barriers for the acceptance of white rappers in popular music. While much of his transgressive work during the late 1990s and early 2000s made him widely controversial, he came to be a representation of popular angst of the American underclass and has been cited as an influence for many artists of various genres.
</p><p>After the release of his debut album <i>Infinite</i> (1996) and the extended play <i>Slim Shady EP</i> (1997), Eminem signed with Dr. Dre's Aftermath Entertainment and subsequently achieved mainstream popularity in 1999 with <i>The Slim Shady LP</i>. His next two releases, <i>The Marshall Mathers LP</i> (2000) and <i>The Eminem Show</i> (2002), were worldwide successes and were both nominated for the Grammy Award for Album of the Year. After the release of his next album, <i>Encore</i> (2004), Eminem went on hiatus in 2005, largely due to a prescription drug addiction. He returned to the music industry four years later with the release of <i>Relapse</i> (2009) and <i>Recovery</i> was released the following year. <i>Recovery</i> was the best-selling album worldwide of 2010, making it Eminem's second album, after <i>The Eminem Show</i> in 2002, to be the best-selling album of the year worldwide. In the following years, he released the US number one albums <i>The Marshall Mathers LP 2</i> (2013), <i>Revival</i> (2017), <i>Kamikaze</i> (2018) and <i>Music to Be Murdered By</i> (2020).
</p><p>Eminem made his debut in the film industry with the musical drama film <i>8 Mile</i> (2002), playing a fictionalized version of himself, and his track ""Lose Yourself"" from its soundtrack won the Academy Award for Best Original Song, making him the first hip hop artist ever to win the award. Eminem has made cameo appearances in the films <i>The Wash</i> (2001), <i>Funny People</i> (2009) and <i>The Interview</i> (2014) and the television series <i>Entourage</i> (2010). He has also developed other ventures, including Shady Records, a joint venture with manager Paul Rosenberg, which helped launch the careers of artists such as 50 Cent, D12 and Obie Trice, among others. He has also established his own channel, Shade 45, on Sirius XM Radio.
</p><p>In addition to his solo career, Eminem was a member of the hip hop group D12. He is also known for collaborations with fellow Detroit-based rapper Royce da 5'9""; the two are collectively known as Bad Meets Evil.
</p><p>Eminem is among the best-selling music artists of all time, with estimated worldwide sales of over 220 million records. He was the best-selling music artist in the United States of the 2000s and the best-selling male music artist in the United States of the 2010s, third overall. <i>Billboard</i> named him the ""Artist of the Decade (2000–2009)"". He has had ten number-one albums on the <i>Billboard</i> 200—which all consecutively debuted at number one on the chart, making him the first artist to achieve this—and five number-one singles on the <i>Billboard</i> Hot 100. <i>The Marshall Mathers LP</i>, <i>The Eminem Show</i>, <i>Curtain Call: The Hits</i> (2005), ""Lose Yourself"", ""Love the Way You Lie"" and ""Not Afraid"" have all been certified Diamond or higher by the Recording Industry Association of America (RIAA). <i>Rolling Stone</i> has included him in its lists of the 100 Greatest Artists of All Time and the 100 Greatest Songwriters of All Time. He has won numerous awards, including 15 Grammy Awards, eight American Music Awards, 17 <i>Billboard</i> Music Awards, an Academy Award, a Primetime Emmy Award and an MTV Europe Music Global Icon Award. In November 2022, Eminem was inducted into the Rock and Roll Hall of Fame.</p>"
Kanye West,Kanye Omari West,1977|6|8,Atlanta,1996–present,,Kanye West,"<p class=""mw-empty-elt"">



</p>
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1129693374""><p><b>Ye</b> (<span></span> <i title=""English pronunciation respelling""><span>YAY</span></i>; born <b>Kanye Omari West</b> <span></span> <i title=""English pronunciation respelling""><span>KAHN</span>-yay</i>; June 8, 1977) is an American rapper, singer, songwriter, record producer, and fashion designer.</p><p>Born in Atlanta and raised in Chicago, West gained recognition as a producer for Roc-A-Fella Records in the early 2000s, producing singles for several artists and developing the ""chipmunk soul"" sampling style. Intent on pursuing a solo career as a rapper, he released his debut studio album, <i>The College Dropout</i> (2004), to critical and commercial success. He founded the record label GOOD Music later that year. West explored diverse musical elements like orchestras, synthesizers, and autotune on the albums <i>Late Registration</i> (2005), <i>Graduation</i> (2007), and <i>808s &amp; Heartbreak</i> (2008). His fifth and sixth albums <i>My Beautiful Dark Twisted Fantasy</i> (2010) and <i>Yeezus</i> (2013) were also met with critical and commercial success. West further diversified his musical styles on <i>The Life of Pablo</i> (2016) and <i>Ye</i> (2018) and explored Christian and gospel music on <i>Jesus Is King</i> (2019). His tenth album <i>Donda</i> (2021) was released to continued commercial success but mixed critical reception. West's discography also includes the two full-length collaborative albums <i>Watch the Throne</i> (2011) with Jay-Z and <i>Kids See Ghosts</i> (2018) with Kid Cudi.
</p><p>One of the world's best-selling music artists, with over 160 million records sold, West has won 22 Grammy Awards and 75 nominations, the joint tenth-most of all time, and the joint-most Grammy awards of any rapper along with Jay-Z. Among his other awards are the <i>Billboard</i> Artist Achievement Award, a joint-record three Brit Awards for Best International Male Solo Artist and the Michael Jackson Video Vanguard Award. Six of West's albums were included on <i>Rolling Stone</i><span>'</span>s 2020 500 Greatest Albums of All Time list with the same publication naming him one of the 100 Greatest Songwriters of All Time. He holds the joint record (with Bob Dylan) for most albums (4) topping the annual Pazz &amp; Jop critic poll, and has the 5th most appearances on the <i>Billboard</i> Hot 100 (133 entries). <i>Time</i> named him one of the 100 most influential people in the world in 2005 and 2015. As a fashion designer, he has collaborated with Nike, Louis Vuitton, Gap, and A.P.C. on clothing and footwear and led the Yeezy collaboration with Adidas. He is also the founder and head of the creative content company Donda.
</p><p>West's outspoken views have received significant media coverage; he has been a frequent source of controversy due to his conduct on social media and at awards shows and public settings, as well as his comments on the music and fashion industries, U.S. politics, race, and slavery. His Christian faith, high-profile marriage to Kim Kardashian, and mental health have also been topics of media attention. In 2020, West launched an unsuccessful independent presidential campaign that primarily advocated for a consistent life ethic. In 2022, he was widely condemned and lost many sponsors and partnerships—including his collaborations with Adidas, Gap, and Balenciaga—after making a series of antisemitic statements. In November 2022, he announced his 2024 presidential campaign, appearing publicly with Nick Fuentes, a white supremacist. He later publicly praised Adolf Hitler, denied the Holocaust, and identified as a Nazi.</p>"
Lady Gaga,Stefani Joanne Angelina Germanotta,1986|3|28,New York City,2001–present,,Lady Gaga,"<p class=""mw-empty-elt"">



</p>
<p><b>Stefani Joanne Angelina Germanotta</b> (<span> <span></span></span> <i title=""English pronunciation respelling""><span>STEF</span>-ən-ee <span>JUR</span>-mə-<span>NOT</span>-ə</i>; born March 28, 1986), known professionally as <b>Lady Gaga</b>, is an American singer, songwriter, and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through the New York University Tisch School of the Arts, before dropping out to pursue a career in music. After Def Jam Recordings canceled her contract, she worked as a songwriter for Sony/ATV Music Publishing, where she signed a joint deal with Interscope Records and KonLive Distribution, in 2007. Gaga had her breakthrough the following year with her debut studio album, <i>The Fame,</i> and its chart-topping singles ""Just Dance"" and ""Poker Face"". The album was later reissued to include the extended play <i>The Fame Monster</i> (2009), which yielded the successful singles ""Bad Romance"", ""Telephone"", and ""Alejandro"".
</p><p>Gaga's five succeeding studio albums all debuted atop the US <i>Billboard</i> 200. Her second full-length album, <i>Born This Way</i> (2011), explored electronic rock and techno-pop and sold more than one million copies in its first week. The title track became the fastest-selling song on the iTunes Store, with over one million downloads in less than a week. Following her EDM-influenced third album, <i>Artpop</i> (2013), and its lead single ""Applause"", Gaga released the jazz album <i>Cheek to Cheek</i> (2014) with Tony Bennett, and the soft rock album <i>Joanne</i> (2016). She ventured into acting, winning awards for her leading roles in the miniseries <i>American Horror Story: Hotel</i> (2015–2016) and the musical film <i>A Star Is Born</i> (2018). Her contributions to the latter's soundtrack, which spawned the chart-topping single ""Shallow"", made her the first woman to win an Academy Award, BAFTA Award, Golden Globe Award, and Grammy Award in one year. Gaga returned to dance-pop with her sixth studio album, <i>Chromatica</i> (2020), which yielded the number-one single ""Rain on Me"". She followed this with her second collaborative album with Bennett, <i>Love for Sale</i>, and a starring role in the biopic <i>House of Gucci</i>, both in 2021.
</p><p>Having sold an estimated 170<span> </span>million records, Gaga is one of the world's best-selling music artists and the only female artist to achieve four singles that each sold at least 10<span> </span>million copies globally. Her accolades include 13 Grammy Awards, two Golden Globe Awards, 18 MTV Video Music Awards, awards from the Songwriters Hall of Fame and the Council of Fashion Designers of America, and recognition as <i>Billboard</i><span>'s</span> Artist of the Year (2010) and Woman of the Year (2015). She has also been included in several <i>Forbes</i><span>'</span> power rankings and ranked fourth on VH1's Greatest Women in Music (2012). <i>Time</i> magazine named her one of the 100 most influential people in the world in 2010 and 2019 and placed her on their All-<i>Time</i> 100 Fashion Icons list. Her philanthropy and activism focus on mental health awareness and LGBT rights; she has her own non-profit organization, the Born This Way Foundation, which supports the wellness of young people. Gaga's business ventures include Haus Labs, a vegan cosmetics brand launched in 2019.
</p>"
Katy Perry,Katheryn Elizabeth Hudson,1984|10|25,Santa Barbara,2001–present,"* Vocals
* guitar",Katy Perry,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">


</p>
<p><b>Katheryn Elizabeth Hudson</b> (born October 25, 1984), known professionally as <b>Katy Perry</b>, is an American singer, songwriter, and television personality. Known for her influence on modern pop music and her campy style, she has been referred to as the ""Queen of Camp"" by <i>Vogue</i>. Pursuing a career in gospel music at 16, Perry released her debut album, <i>Katy Hudson</i>, under Red Hill Records in 2001, which was commercially unsuccessful. She moved to Los Angeles at 17 to venture into secular music, and later adopted the stage name ""Katy Perry"" from her mother's maiden name. She recorded an album while signed to Columbia Records, but was dropped before signing to Capitol Records.
</p><p>She rose to fame with <i>One of the Boys</i> (2008), a pop rock record containing her debut single ""I Kissed a Girl"" and follow-up single ""Hot n Cold"", which reached number one and three on the U.S. <i>Billboard</i> Hot 100 respectively. The disco-influenced pop album <i>Teenage Dream</i> (2010) spawned five U.S. number one singles—""California Gurls"", ""Teenage Dream"", ""Firework"", ""E.T."", and ""Last Friday Night (T.G.I.F.)""—becoming the only album by a female singer to do so. A reissue of the album titled <i>Teenage Dream: The Complete Confection</i> (2012) subsequently produced the U.S. number one single ""Part of Me"". Her empowerment-themed album <i>Prism</i> (2013) had two U.S. number one singles ""Roar"" and ""Dark Horse"". Both their respective music videos made Perry the first artist to have multiple videos reach one billion views on Vevo. The electropop album <i>Witness</i> (2017) featured themes of feminism and a political subtext, while <i>Smile</i> (2020) was influenced by her recent motherhood and mental health journey. Afterwards, she embarked on her Las Vegas concert residency titled Play (2021–present), receiving critical acclaim and commercial success.
</p><p>Perry is one of the best-selling music artists of all time, having sold over 143 million records worldwide. All of her studio albums released under Capitol have individually surpassed one billion streams on Spotify, totaling six billion streams. She has nine U.S. number one singles, three U.S. number one albums and has received various accolades, including a Billboard Spotlight Award (currently the only female artist to have one), four Guinness World Records, five <i>Billboard</i> Music Awards, five American Music Awards, a Brit Award, and a Juno Award. Perry has been included in the annual <i>Forbes</i> lists of highest-earning women in music from 2011 to 2019. Her acclaimed Super Bowl halftime show performance in 2015 is the most watched in history. Outside of music, she released an autobiographical documentary titled <i>Katy Perry: Part of Me</i> in 2012, voiced Smurfette in <i>The Smurfs</i> film series, and launched her own shoe line Katy Perry Collections in 2017. Perry began serving as a judge on <i>American Idol</i> during its sixteenth season in 2018. She is also the most-followed woman and the third most-followed person on Twitter, with over 100 million followers.
</p>


"
Beyoncé,,1981|9|4,Houston,1997–present,Vocals,Beyoncé,"<p class=""mw-empty-elt"">


</p>
<p><b>Beyoncé Giselle Knowles-Carter</b> (<span> <span></span></span> <i title=""English pronunciation respelling"">bee-<span>ON</span>-say</i>; born September 4, 1981) is an American singer, songwriter, and dancer. Beyoncé has been noted for her boundary-pushing artistry and her vocal prowess. Her success has made her a cultural icon and earned her the nickname ""Queen Bey"".</p><p>Beyoncé performed in various singing and dancing competitions as a child. She rose to fame in the late 1990s as a member of the R&amp;B girl group Destiny's Child, one of the best-selling girl groups of all time. Their hiatus saw the release of her debut album <i>Dangerously in Love</i> (2003), which featured the US <i>Billboard</i> Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"". Following the 2006 disbanding of Destiny's Child, Beyoncé released her second solo album, <i>B'Day</i>, which contained singles ""Irreplaceable"" and ""Beautiful Liar"". Beyoncé also starred in multiple films such as <i>Austin Powers in Goldmember</i> (2002), <i>The Pink Panther</i> (2006), <i>Dreamgirls</i> (2006), <i>Obsessed</i> (2009), and <i>The Lion King</i> (2019). Her marriage to Jay-Z and her portrayal of Etta James in <i>Cadillac Records</i> (2008) influenced her third album, <i>I Am... Sasha Fierce</i> (2008), which earned a record-setting six Grammy Awards in 2010. It spawned the successful singles ""If I Were a Boy"", ""Single Ladies"", and ""Halo"". After professionally splitting from her manager and father Mathew Knowles in 2010, she released her musically diverse fourth album <i>4</i> in 2011.
</p><p>Beyoncé later achieved critical acclaim for her sonically experimental visual albums, <i>Beyoncé</i> (2013) and <i>Lemonade</i> (2016), the latter of which was the world's best-selling album of 2016 and the most acclaimed album of her career, exploring themes of infidelity, feminism, and womanism. In 2018, she released <i>Everything Is Love</i>, a collaborative album with her husband, Jay-Z, as the Carters. As a featured artist, Beyoncé topped the <i>Billboard</i> Hot 100 with the remixes of ""Perfect"" by Ed Sheeran in 2017 and ""Savage"" by Megan Thee Stallion in 2020. The same year, she released the musical film <i>Black Is King</i> with an accompanying visual album, with praise from critics. In 2022, Beyoncé received further critical acclaim for her seventh studio album <i>Renaissance</i>, which experimented with disco and house music and paid homage to LGBTQ+ ball culture. She obtained her first solo number-one since 2008 with the album's lead single, ""Break My Soul"", with <i>Renaissance</i> being her first solo studio album since 2016.
</p><p>She is one of the world's best-selling recording artists, having sold over 200 million records worldwide. Her success during the 2000s was recognized with the Recording Industry Association of America (RIAA)'s Top Certified Artist of the Decade as well as <i>Billboard</i><span>'s</span> Top Female Artist of the Decade. She is the first solo artist to have their first seven studio albums debut at number one on the <i>Billboard</i> 200. Beyoncé's accolades include 32 Grammy Awards (the most of any person), 26 MTV Video Music Awards (including the Michael Jackson Video Vanguard Award in 2014), 24 NAACP Image Awards, 31 BET Awards, and 17 Soul Train Music Awards; all of which are more than any other singer. In 2014, <i>Billboard</i> named her the highest-earning black musician of all time, while in 2020, she was included on <i>Time</i><span>'</span>s list of 100 women who defined the last century.</p>"
Michael Jackson,Michael Joseph Jackson,1958|8|29,Gary,1964–2009,,Michael Jackson,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">



</p>
<p><b>Michael Joseph Jackson</b> (August 29, 1958 – June 25, 2009) was an American singer, songwriter, dancer, and philanthropist. Dubbed the ""King of Pop"", he is regarded as one of the most significant cultural figures of the 20th century. Over a four-decade career, his contributions to music, dance, and fashion, along with his publicized personal life, made him a global figure in popular culture. Jackson influenced artists across many music genres; through stage and video performances, he popularized complicated dance moves such as the moonwalk, to which he gave the name, as well as the robot. He is the most awarded recording artist in pop music history.</p><p>The eighth child of the Jackson family, Jackson made his public debut in 1964 with his older brothers Jackie, Tito, Jermaine, and Marlon as a member of the Jackson 5 (later known as the Jacksons). Jackson began his solo career in 1971 while at Motown Records. He became a solo star with his 1979 album <i>Off the Wall</i>. His music videos, including those for ""Beat It"", ""Billie Jean"", and ""Thriller"" from his 1982 album <i>Thriller</i>, are credited with breaking racial barriers and transforming the medium into an artform and promotional tool. He helped propel the success of MTV and continued to innovate with videos for the albums <i>Bad</i> (1987), <i>Dangerous</i> (1991), <i>HIStory: Past, Present and Future, Book I</i> (1995), and <i>Invincible</i> (2001). <i>Thriller</i> became the best-selling album of all time, while <i>Bad</i> was the first album to produce five US <i>Billboard</i> Hot 100 number-one singles.</p><p>From the late 1980s, Jackson became a figure of controversy and speculation due to his changing appearance, relationships, behavior, and lifestyle. In 1993, he was accused of sexually abusing the child of a family friend. The lawsuit was settled out of civil court; Jackson was not indicted due to lack of evidence. In 2005, he was tried and acquitted of further child sexual abuse allegations and several other charges. The FBI found no evidence of criminal conduct by Jackson in either case. In 2009, while he was preparing for a series of comeback concerts, This Is It, Jackson died from an overdose of propofol administered by his personal physician, Conrad Murray, who was convicted in 2011 of involuntary manslaughter. His death triggered reactions around the world, creating unprecedented surges of Internet traffic and a spike in sales of his music. A televised memorial service for Jackson, held at the Staples Center in Los Angeles, was viewed by an estimated over 2.5 billion people globally.
</p><p>Jackson is one of the best-selling music artists of all time, with estimated sales of over 400<span> </span>million records worldwide. He had 13 <i>Billboard</i> Hot 100 number-one singles (third highest of any artist in the Hot 100 era) and was the first artist to have a top-ten single in the <i>Billboard</i> Hot 100 in five different decades. He is regarded by the RIAA as the highest-selling individual music artist of all time worldwide. His honors include 15 Grammy Awards, 6 Brit Awards, a Golden Globe Award, and 39 Guinness World Records, including the ""Most Successful Entertainer of All Time"". Jackson's inductions include the Rock and Roll Hall of Fame (twice), the Vocal Group Hall of Fame, the Songwriters Hall of Fame, the Dance Hall of Fame (the only recording artist to be inducted), and the Rhythm and Blues Music Hall of Fame.
</p>"
Drake,Aubrey Drake Graham,1986|10|24,Toronto,2001–present,,Drake (musician),"<p class=""mw-empty-elt"">


</p>
<p><b>Aubrey Drake Graham</b> (<span></span> <i title=""English pronunciation respelling"">aw-<span>BREE</span></i>; born October 24, 1986) is a Canadian rapper, singer and actor. An influential figure in contemporary popular music, Drake has been credited for further popularizing singing and R&amp;B sensibilities in hip hop. Gaining recognition by starring as Jimmy Brooks in the CTV teen drama series <i>Degrassi: The Next Generation</i> (2001–08), Drake pursued a career in music releasing his debut mixtape <i>Room for Improvement</i> in 2006. He followed this with the mixtapes <i>Comeback Season</i> (2007) and <i>So Far Gone</i> (2009) before signing with Young Money Entertainment.</p><p>Drake's first three albums, <i>Thank Me Later</i> (2010), <i>Take Care</i> (2011) and <i>Nothing Was the Same</i> (2013), were all critical successes and propelled him to the forefront of hip hop. His fourth album, <i>Views</i> (2016), saw exploration of dancehall and stood atop the <i>Billboard</i> 200 for 13 non-consecutive weeks, making it the first album by a male artist to do so in over a decade, and featured the chart record-setting lead single ""One Dance"". In 2018, Drake released the double album <i>Scorpion</i>, which contained the <i>Billboard</i> Hot 100 number-one singles ""God's Plan"", ""Nice for What"", and ""In My Feelings"". Drake's widely anticipated sixth album, <i>Certified Lover Boy</i> (2021), achieved nine top 10 hits on the Hot 100, setting the then-record for most US top-ten hits from one album, with its lead single ""Way 2 Sexy"" reaching number one. In 2022, Drake released the house-inspired album <i>Honestly, Nevermind</i> and the collaborative album, <i>Her Loss</i>, with 21 Savage. Known for frequent accompanying releases to his albums, Drake achieved critical and commercial success with the mixtapes <i>If You're Reading This It's Too Late</i> (2015) and <i>More Life</i> (2017).
</p><p>As an entrepreneur, Drake founded the OVO Sound record label with longtime collaborator 40 in 2012. In 2013, Drake became the ""global ambassador"" of the Toronto Raptors, joining their executive committee and later obtaining naming rights to their practice facility. In 2016, he began collaborating with Brent Hocking on the bourbon whiskey Virginia Black. Drake heads the OVO fashion label and the Nocta collaboration with Nike, and founded the production company DreamCrew and the fragrance house Better World. In 2018, Drake was reportedly responsible for 5 percent (CAD$440 million) of Toronto's CAD$8.8 billion annual tourism income. In 2022, he became a part owner of Italian football club A.C. Milan.
</p><p>Among the world's best-selling music artists, with over 170 million records sold, Drake is ranked as the highest-certified digital singles artist in the United States by the RIAA. He has won five Grammy Awards, six American Music Awards, a record 34 <i>Billboard</i> Music Awards, two Brit Awards, and three Juno Awards. Drake has achieved 11 number-one hits on the <i>Billboard</i> Hot 100 and holds further Hot 100 records; he has the most top 10 singles (67), most charted songs (293), the most simultaneously charted songs in one week (27), the most Hot 100 debuts in one week (22), and the most continuous time on the Hot 100 (431 weeks). He additionally has the most number-one singles on the R&amp;B/Hip-Hop Airplay, Hot R&amp;B/Hip-Hop Songs, Hot Rap Songs, and Rhythmic Airplay charts. 
</p>


"
David Bowie,David Robert Jones,1947|1|8,,1962–2016,"* Vocals
* guitar
* keyboards
* saxophone
* harmonica",David Bowie,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">



</p>
<p><b>David Robert Jones</b> (8 January 1947 – 10 January 2016), known professionally as <b>David Bowie</b> (<span></span> <i title=""English pronunciation respelling""><span>BOH</span>-ee</i>), was an English singer-songwriter and actor. A leading figure in the music industry, he is regarded as one of the most influential musicians of the 20th century. Bowie was acclaimed by critics and musicians, particularly for his innovative work during the 1970s. His career was marked by reinvention and visual presentation, and his music and stagecraft had a significant impact on popular music.
</p><p>Bowie developed an interest in music from an early age. He studied art, music and design before embarking on a professional career as a musician in 1963. ""Space Oddity"", released in 1969, was his first top-five entry on the UK Singles Chart. After a period of experimentation, he re-emerged in 1972 during the glam rock era with his flamboyant and androgynous alter ego Ziggy Stardust. The character was spearheaded by the success of Bowie's single ""Starman"" and album <i>The Rise and Fall of Ziggy Stardust and the Spiders from Mars</i>, which won him widespread popularity. In 1975, Bowie's style shifted towards a sound he characterised as ""plastic soul"", initially alienating many of his UK fans but garnering him his first major US crossover success with the number-one single ""Fame"" and the album <i>Young Americans</i>. In 1976, Bowie starred in the cult film <i>The Man Who Fell to Earth</i> and released <i>Station to Station</i>. In 1977, he again changed direction with the electronic-inflected album <i>Low</i>, the first of three collaborations with Brian Eno that came to be known as the ""Berlin Trilogy"". <i>""Heroes""</i> (1977) and <i>Lodger</i> (1979) followed; each album reached the UK top five and received lasting critical praise.
</p><p>After uneven commercial success in the late 1970s, Bowie had three number-one hits: the 1980 single ""Ashes to Ashes"", its album <i>Scary Monsters (and Super Creeps)</i>, and ""Under Pressure"" (a 1981 collaboration with Queen). He achieved massive commercial success in the 1980s starting with <i>Let's Dance</i> (1983). Between 1988 and 1992, he fronted the hard rock band Tin Machine before resuming his solo career in 1993. Throughout the 1990s and 2000s, Bowie continued to experiment with musical styles, including industrial and jungle. He also continued acting; his roles included Major Jack Celliers in <i>Merry Christmas, Mr. Lawrence</i> (1983), Jareth the Goblin King in <i>Labyrinth</i> (1986), Pontius Pilate in <i>The Last Temptation of Christ</i> (1988), and Nikola Tesla in <i>The Prestige</i> (2006), among other film and television appearances and cameos. He stopped touring after 2004 and his last live performance was at a charity event in 2006. In 2013, Bowie returned from a decade-long recording hiatus with <i>The Next Day</i>. He remained musically active until his death from liver cancer at his home in New York City. He died two days after both his 69th birthday and the release of his final album, <i>Blackstar</i> (2016).
</p><p>During his lifetime, his record sales, estimated at over 100 million records worldwide, made him one of the best-selling musicians of all time. In the UK, he was awarded ten platinum, eleven gold and eight silver album certifications, and released 11 number-one albums. In the US, he received five platinum and nine gold certifications. He was inducted into the Rock and Roll Hall of Fame in 1996. <i>Rolling Stone</i> ranked him among the greatest artists in history. As of 2022, Bowie was the best-selling vinyl artist of the 21st century.
</p>


"
